sample	Methylation_based_analysis	HiFi_MAG_Pipeline	sample_type
INF1.1	1	0	influent
INF1.2	1	0	influent
INF1.3	1	0	influent
INF1.4	1	0	influent
INF2.1	1	0	influent
INF2.2	1	0	influent
INF2.3	1	0	influent
INF2.4	1	0	influent
INF2.5	1	0	influent
INF2.6	1	0	influent
INF3.1	1	0	influent
INF3.2	1	0	influent
INF3.3	1	0	influent
INF3.4	1	0	influent
INF3.5	1	0	influent
EFF1.1	1	0	effluent
EFF2.1	1	1	effluent
EFF2.2	1	1	effluent
EFF2.3	1	0	effluent
EFF2.4	1	0	effluent
EFF3.1	1	0	effluent
SLU1.1	1	0	dried sludge
SLU1.2	1	1	dried sludge
SLU1.3	1	0	dried sludge
SLU1.4	1	0	dried sludge
SLU1.5	1	0	dried sludge
SLU1.6	1	1	dried sludge
SLU1.7	1	0	dried sludge
SLU1.8	1	0	dried sludge
SLU1.9	0	1	dried sludge
SLU2.1	1	0	dried sludge
SLU2.2	1	0	dried sludge
SLU2.3	1	1	dried sludge
SLU2.4	1	1	dried sludge
SLU2.5	1	1	dried sludge
SLU2.6	1	0	dried sludge
SLU2.7	1	0	dried sludge
SLU2.8	1	0	dried sludge
SLU2.9	1	0	dried sludge
SLU2.10	1	0	dried sludge
SLU3.1	1	0	dried sludge
SLU3.2	1	0	dried sludge
SLU3.3	1	0	dried sludge
SLU3.4	1	0	dried sludge
SLU3.5	1	0	dried sludge
SLU3.6	1	1	dried sludge
SLU3.7	1	0	dried sludge
SLU3.8	1	0	dried sludge
SLU3.9	0	1	dried sludge
SLU3.10	0	1	dried sludge
