Contig_Names,HiFi_MAG_Pipeline
s1030.ctg001132c,complete.62
s1042.ctg001144c,complete.64
s459.ctg000508c,complete.35
s1990.ctg002206c,complete.90
s827.ctg000909l,complete.49
s1073.ctg001182c,complete.66
s2400.ctg002660c,complete.97
s324.ctg000357c,complete.27
s2196.ctg002437c,complete.94
s29.ctg000030l,semibin2_7
s460.ctg000509l,semibin2_32
s36.ctg000624l,semibin2_9
s135.ctg000147c,metabat2.555
s263.ctg000292l,metabat2.555
s197.ctg000217l,metabat2.516
s30.ctg000074l,metabat2.570
s30.ctg000229l,metabat2.570
s692.ctg000764l,metabat2.577
s821.ctg000903l,metabat2.577
s11.ctg000012l,metabat2.767
s104.ctg001514l,metabat2.767
s1000.ctg001098l,semibin2_22
s1362.ctg001503l,semibin2_22
s321.ctg000354l,metabat2.364
s9920.ctg011353l,metabat2.364
s533.ctg000588l,metabat2.924
s864.ctg000953l,metabat2.924
s291.ctg000322l,metabat2.629
s5435.ctg006136l,metabat2.629
s846.ctg000933l,metabat2.552
s3480.ctg003882c,metabat2.552
s8278.ctg009437l,metabat2.552
s386.ctg000425l,metabat2.520
s1938.ctg002147l,metabat2.520
s1938.ctg002150l,metabat2.520
s386.ctg007587l,metabat2.520
s8.ctg000009l,metabat2.491
s182.ctg000199l,metabat2.491
s182.ctg001933l,metabat2.491
s1777.ctg001960l,metabat2.491
s3661.ctg004082l,metabat2.491
s7.ctg002499l,metabat2.1024
s7.ctg002995l,metabat2.1024
s7.ctg003009l,metabat2.1024
s36.ctg000143l,metabat2.993
s314.ctg000346l,metabat2.993
s36.ctg000578l,metabat2.993
s36.ctg026961l,metabat2.993
s36.ctg034161l,metabat2.993
s763.ctg000840c,metabat2.298
s949.ctg001045l,metabat2.298
s5362.ctg006050l,metabat2.298
s832.ctg008101l,metabat2.298
s30.ctg000068l,metabat2.988
s30.ctg000324l,metabat2.988
s30.ctg002343l,metabat2.988
s30.ctg002916l,metabat2.988
s30.ctg003818l,metabat2.988
s30.ctg008720l,metabat2.988
s30.ctg021663l,metabat2.988
s356.ctg000392l,metabat2.433
s356.ctg000927l,metabat2.433
s356.ctg001008l,metabat2.433
s1599.ctg001763l,metabat2.433
s356.ctg003210l,metabat2.433
s3618.ctg004035l,metabat2.433
s23505.ctg027592l,metabat2.433
s13.ctg000274l,metabat2.725
s13.ctg000773l,metabat2.725
s13.ctg000986l,metabat2.725
s13.ctg001185l,metabat2.725
s13.ctg001590l,metabat2.725
s1841.ctg002035l,metabat2.725
s2662.ctg002963c,metabat2.725
s1631.ctg001801l,metabat2.542
s5258.ctg005932l,metabat2.542
s11663.ctg013390l,metabat2.542
s18546.ctg021586l,metabat2.542
s20614.ctg024075l,metabat2.542
s26479.ctg031237l,metabat2.542
s30091.ctg035711l,metabat2.542
s1119.ctg001233l,semibin2_6
s2343.ctg002601l,semibin2_6
s6774.ctg007675l,semibin2_6
s8922.ctg010197l,semibin2_6
s11945.ctg013728l,semibin2_6
s32533.ctg038797l,semibin2_6
s792.ctg000870l,metabat2.426
s1035.ctg001137l,metabat2.426
s1670.ctg001843l,metabat2.426
s1670.ctg003165l,metabat2.426
s3226.ctg003605l,metabat2.426
s5054.ctg005685l,metabat2.426
s11483.ctg013178l,metabat2.426
s15225.ctg017634l,metabat2.426
s1539.ctg001696l,semibin2_15
s2528.ctg002808l,semibin2_15
s2685.ctg002989l,semibin2_15
s3048.ctg003393c,semibin2_15
s30.ctg003599l,semibin2_15
s3558.ctg003970l,semibin2_15
s30.ctg006559l,semibin2_15
s13608.ctg015705l,semibin2_15
s17082.ctg019838l,semibin2_15
s28044.ctg033160l,semibin2_15
s48.ctg000049l,metabat2.453
s1493.ctg001646l,metabat2.453
s3475.ctg003877l,metabat2.453
s3508.ctg003915l,metabat2.453
s4569.ctg005121l,metabat2.453
s5804.ctg006565l,metabat2.453
s10420.ctg011941l,metabat2.453
s20506.ctg023952l,metabat2.453
s238.ctg000265l,metabat2.595
s4814.ctg005400l,metabat2.595
s15876.ctg018408l,metabat2.595
s944.ctg001040l,metabat2.587
s2003.ctg002221l,metabat2.587
s3059.ctg003405l,metabat2.587
s4457.ctg004996l,metabat2.587
s5134.ctg005778l,metabat2.587
s5266.ctg005941l,metabat2.587
s6728.ctg007624l,metabat2.587
s13694.ctg015808l,metabat2.587
s18216.ctg021187l,metabat2.587
s335.ctg000369l,metabat2.588
s2785.ctg003099l,metabat2.588
s6737.ctg007633l,metabat2.588
s7923.ctg009031l,metabat2.588
s16345.ctg018970l,metabat2.588
s837.ctg000920l,semibin2_3
s962.ctg001059l,semibin2_3
s2096.ctg002325l,semibin2_3
s4613.ctg005170l,semibin2_3
s6452.ctg007308l,semibin2_3
s7583.ctg008611l,semibin2_3
s8505.ctg009696l,semibin2_3
s20578.ctg024035l,NA
s10547.ctg012093l,NA
s15252.ctg017667l,NA
s4110.ctg004596l,NA
s3414.ctg003811l,NA
s36.ctg002434l,NA
s22912.ctg026848c,NA
s10569.ctg012117l,NA
s848.ctg031032l,NA
s36.ctg046724l,NA
s14751.ctg017061l,NA
s24840.ctg029220l,NA
s25788.ctg030382l,NA
s18672.ctg021741l,NA
s27135.ctg032057l,NA
s4009.ctg008871l,NA
s15678.ctg018175l,NA
s2275.ctg002524l,NA
s26186.ctg030876l,NA
s6035.ctg012449l,NA
s43379.ctg055339l,NA
s30.ctg022644l,NA
s16306.ctg018923c,NA
s5247.ctg005918l,NA
s31160.ctg037066c,NA
s23195.ctg027206l,NA
s27890.ctg032964l,NA
s36.ctg058027l,NA
s4647.ctg005211l,NA
s3576.ctg003989c,NA
s37402.ctg045256l,NA
s19632.ctg022900l,NA
s4304.ctg004816l,NA
s29275.ctg034702l,NA
s4578.ctg005131l,NA
s7987.ctg009108l,NA
s3578.ctg003991c,NA
s18758.ctg021851l,NA
s588.ctg000651c,NA
s31639.ctg037697l,NA
s4201.ctg004703l,NA
s9352.ctg010692l,NA
s9851.ctg011274c,NA
s25324.ctg029799l,NA
s279.ctg048252l,NA
s33493.ctg040024l,NA
s36.ctg014944l,NA
s32927.ctg039298l,NA
s20781.ctg024270l,NA
s36672.ctg044258l,NA
s14907.ctg017244l,NA
s36.ctg037043l,NA
s36.ctg051199l,NA
s8165.ctg009308l,NA
s30.ctg029082l,NA
s10512.ctg012052l,NA
s250.ctg049098l,NA
s36.ctg011931l,NA
s8482.ctg009670l,NA
s10056.ctg011512l,NA
s336.ctg047419l,NA
s36.ctg049333l,NA
s36.ctg020230l,NA
s36.ctg029792l,NA
s43944.ctg056615l,NA
s36.ctg048810l,NA
s36.ctg056599l,NA
s30.ctg015888l,NA
s25845.ctg030446c,NA
s6639.ctg007522l,NA
s20998.ctg024525l,NA
s43992.ctg056741l,NA
s36.ctg018194l,NA
s36.ctg023311l,NA
s36.ctg047754l,NA
s36.ctg053664l,NA
s7817.ctg008902l,NA
s16273.ctg018884l,NA
s25075.ctg029491l,NA
s36.ctg050142l,NA
s2732.ctg041740l,NA
s617.ctg049398l,NA
s36.ctg023093l,NA
s26440.ctg031190l,NA
s15.ctg039713l,NA
s28775.ctg034074l,NA
s36.ctg051695l,NA
s36.ctg051716l,NA
s36.ctg037383l,NA
s24194.ctg028436l,NA
s155.ctg022618l,NA
s6105.ctg019215l,NA
s5579.ctg006302l,NA
s680.ctg021412l,NA
s1022.ctg001123l,NA
s25459.ctg029964l,NA
s3486.ctg003888c,NA
s36.ctg029637l,NA
s32715.ctg039021l,NA
s67.ctg037598l,NA
s8323.ctg041341l,NA
s31853.ctg037963l,NA
s22610.ctg026492l,NA
s43150.ctg054864l,NA
s3778.ctg004215l,NA
s5273.ctg005950l,NA
s36.ctg006309l,NA
s30767.ctg036572l,NA
s9155.ctg010468l,NA
s26041.ctg030688l,NA
s891.ctg000981l,NA
s5932.ctg006704c,NA
s329.ctg038335l,NA
s36.ctg047357l,NA
s36.ctg042565l,NA
s7135.ctg008087l,NA
s36.ctg060393l,NA
s30.ctg052233l,NA
s36.ctg022114l,NA
s15943.ctg018488l,NA
s214.ctg046760l,NA
s30392.ctg036101l,NA
s21948.ctg025693l,NA
s36.ctg040911l,NA
s7227.ctg008186l,NA
s31278.ctg037219c,NA
s9550.ctg010927c,NA
s42996.ctg054534l,NA
s2009.ctg008733l,NA
s16707.ctg019399l,NA
s15257.ctg017675l,NA
s1.ctg046605l,NA
s30.ctg056298l,NA
s36.ctg047825l,NA
s35385.ctg042488l,NA
s31035.ctg036897c,NA
s15211.ctg017618l,NA
s6105.ctg056437l,NA
s36.ctg012856l,NA
s5305.ctg005985l,NA
s10126.ctg024493l,NA
s24981.ctg029382c,NA
s6674.ctg007565c,NA
s26239.ctg030947c,NA
s10563.ctg012110l,NA
s30.ctg045642l,NA
s26729.ctg031545c,NA
s20154.ctg023544l,NA
s42268.ctg053104l,NA
s36.ctg060514l,NA
s36.ctg055260l,NA
s38804.ctg047319l,NA
s24771.ctg029135c,NA
s2393.ctg002653l,NA
s30.ctg000453l,NA
s19343.ctg022563l,NA
s738.ctg049180l,NA
s30.ctg048048l,NA
s3094.ctg003443l,NA
s24066.ctg028277l,NA
s2570.ctg002859l,NA
s4553.ctg005102l,NA
s24343.ctg028616c,NA
s7.ctg051093l,NA
s888.ctg000978c,NA
s20902.ctg024416l,NA
s36.ctg048314l,NA
s36.ctg055135l,NA
s27664.ctg032693l,NA
s6783.ctg007684l,NA
s4857.ctg008256l,NA
s22516.ctg026376l,NA
s18086.ctg021034l,NA
s35511.ctg042667l,NA
s36.ctg059799l,NA
s36.ctg014322l,NA
s27182.ctg032115l,NA
s14022.ctg016202l,NA
s23680.ctg027801l,NA
s9072.ctg010375c,NA
s16308.ctg018925l,NA
