Name	Contig_Names
complete.62	s1030.ctg001132c
complete.64	s1042.ctg001144c
complete.35	s459.ctg000508c
complete.90	s1990.ctg002206c
complete.49	s827.ctg000909l
complete.66	s1073.ctg001182c
complete.97	s2400.ctg002660c
complete.27	s324.ctg000357c
complete.94	s2196.ctg002437c
semibin2_7	s29.ctg000030l
semibin2_32	s460.ctg000509l
semibin2_9	s36.ctg000624l
metabat2.555	s135.ctg000147c, s263.ctg000292l
metabat2.516	s197.ctg000217l, s813.ctg000894l
metabat2.570	s30.ctg000074l, s30.ctg000229l
metabat2.577	s692.ctg000764l, s821.ctg000903l
metabat2.767	s11.ctg000012l, s104.ctg001514l
semibin2_22	s1000.ctg001098l, s1362.ctg001503l, s21653.ctg025323l
metabat2.364	s321.ctg000354l, s9920.ctg011353l, s18449.ctg021473l
metabat2.924	s533.ctg000588l, s864.ctg000953l, s13505.ctg015584l
metabat2.629	s291.ctg000322l, s5435.ctg006136l, s41772.ctg052177l
metabat2.552	s846.ctg000933l, s3480.ctg003882c, s8278.ctg009437l
metabat2.526	s4680.ctg005250l, s8086.ctg009218l, s13845.ctg015982l
metabat2.520	s386.ctg000425l, s1938.ctg002147l, s1938.ctg002150l, s386.ctg007587l
metabat2.9	s980.ctg001077l, s1192.ctg001312l, s1672.ctg001845l, s3525.ctg003934l
metabat2.491	s8.ctg000009l, s182.ctg000199l, s182.ctg001933l, s1777.ctg001960l, s3661.ctg004082l
metabat2.1024	s7.ctg002499l, s7.ctg002995l, s7.ctg003009l, s7.ctg007653l, s7.ctg015329l
metabat2.993	s36.ctg000143l, s314.ctg000346l, s36.ctg000578l, s36.ctg026961l, s36.ctg034161l
metabat2.298	s763.ctg000840c, s949.ctg001045l, s5362.ctg006050l, s832.ctg008101l, s832.ctg024955l, s33754.ctg040377l
metabat2.988	s30.ctg000068l, s30.ctg000324l, s30.ctg002343l, s30.ctg002916l, s30.ctg003818l, s30.ctg008720l, s30.ctg021663l
metabat2.433	s356.ctg000392l, s356.ctg000927l, s356.ctg001008l, s1599.ctg001763l, s356.ctg003210l, s3618.ctg004035l, s23505.ctg027592l
metabat2.725	s13.ctg000274l, s13.ctg000773l, s13.ctg000986l, s13.ctg001185l, s13.ctg001590l, s1841.ctg002035l, s2662.ctg002963c
metabat2.542	s1631.ctg001801l, s5258.ctg005932l, s11663.ctg013390l, s18546.ctg021586l, s20614.ctg024075l, s26479.ctg031237l, s30091.ctg035711l
semibin2_24	s465.ctg000514l, s1438.ctg001586l, s2327.ctg002583l, s2746.ctg003059l, s5014.ctg005639l, s13095.ctg015087l, s14251.ctg016470l, s442.ctg033141l
semibin2_6	s353.ctg000389l, s1119.ctg001233l, s2343.ctg002601l, s6774.ctg007675l, s8922.ctg010197l, s11945.ctg013728l, s20808.ctg024306l, s26506.ctg031271l, s32533.ctg038797l
metabat2.426	s792.ctg000870l, s1035.ctg001137l, s1670.ctg001843l, s1670.ctg003165l, s3226.ctg003605l, s5054.ctg005685l, s11483.ctg013178l, s15225.ctg017634l, s15602.ctg018090l
semibin2_15	s1539.ctg001696l, s2528.ctg002808l, s2685.ctg002989l, s3048.ctg003393c, s30.ctg003599l, s3558.ctg003970l, s30.ctg006559l, s13608.ctg015705l, s17082.ctg019838l, s28044.ctg033160l
metabat2.453	s48.ctg000049l, s1493.ctg001646l, s3475.ctg003877l, s3508.ctg003915l, s4569.ctg005121l, s5804.ctg006565l, s10327.ctg011830l, s10420.ctg011941l, s20506.ctg023952l, s26695.ctg031508l, s36533.ctg044076l
metabat2.595	s238.ctg000265l, s435.ctg000482l, s1315.ctg001445l, s1488.ctg001641l, s2158.ctg002396l, s4814.ctg005400l, s8836.ctg010095l, s9290.ctg010616l, s9511.ctg010877l, s11015.ctg012653l, s15876.ctg018408l, s18931.ctg022054l, s20298.ctg023713l, s25828.ctg030429l
metabat2.587	s944.ctg001040l, s2003.ctg002221l, s3059.ctg003405l, s4457.ctg004996l, s5134.ctg005778l, s5266.ctg005941l, s6728.ctg007624l, s7326.ctg008313l, s10856.ctg012456l, s13694.ctg015808l, s13843.ctg015980l, s13860.ctg015998l, s18216.ctg021187l, s30937.ctg036776l
metabat2.588	s335.ctg000369l, s423.ctg000470l, s1921.ctg002129l, s2785.ctg003099l, s4751.ctg005330l, s5086.ctg005721l, s6070.ctg006866l, s6737.ctg007633l, s7795.ctg008874l, s7923.ctg009031l, s11008.ctg012645l, s16345.ctg018970l, s18500.ctg021533l, s20770.ctg024256l, s24655.ctg028988l
semibin2_46	s36.ctg002533l, s4620.ctg005179l, s5545.ctg006263l, s5957.ctg006731l, s7677.ctg008725l, s9409.ctg010760l, s11140.ctg012800l, s11456.ctg013148l, s11584.ctg013294l, s12005.ctg013800l, s13222.ctg015234l, s15791.ctg018305l, s17209.ctg019985l, s18650.ctg021716l, s27562.ctg032568l
semibin2_3	s837.ctg000920l, s962.ctg001059l, s2096.ctg002325l, s4613.ctg005170l, s6452.ctg007308l, s7090.ctg008036l, s7354.ctg008347l, s7577.ctg008604l, s7583.ctg008611l, s8505.ctg009696l, s9042.ctg010332l, s9131.ctg010440l, s9160.ctg010473l, s15572.ctg018053l, s15641.ctg018133l, s17640.ctg020498l, s20264.ctg023676l, s37114.ctg044855l, s41408.ctg051520l, s43274.ctg055113l
