contig_ID,Methylation_MAG
s854.ctg000934l,C4
s36948.ctg045776l,NA
s10209.ctg018003l,NA
s430.ctg000470l,NA
s38200.ctg047581l,NA
s82.ctg000087l,NA
s30655.ctg037280l,NA
s3763.ctg017863l,NA
s8798.ctg010224l,NA
s22350.ctg026611l,NA
s14.ctg058401l,NA
s967.ctg001061l,NA
s25.ctg033776l,NA
s5135.ctg041110l,NA
s26540.ctg031916l,NA
s2591.ctg002920l,NA
s19525.ctg023189l,NA
s25.ctg047346l,NA
s25.ctg000961l,NA
s266.ctg050544l,NA
s25.ctg002379l,NA
s407.ctg016029l,NA
s14840.ctg017499l,NA
s11191.ctg013121l,NA
s3163.ctg003565c,NA
s7845.ctg009074l,NA
s25.ctg053419l,NA
s17.ctg003494l,NA
s702.ctg000759c,NA
s14.ctg034121l,NA
s940.ctg049707l,NA
s21891.ctg026064c,NA
s1239.ctg054481l,NA
s31949.ctg038962l,NA
s25432.ctg030493c,NA
s25.ctg029052l,NA
s17.ctg013592l,NA
s15793.ctg018660l,NA
s2150.ctg016898l,NA
s4361.ctg004975l,NA
s17.ctg001589l,NA
s3404.ctg003849l,NA
s4115.ctg023351l,NA
s19609.ctg023284l,NA
s251.ctg000272l,NA
s5917.ctg006821l,NA
s22861.ctg027232l,NA
s25.ctg041718l,NA
s19821.ctg023541l,NA
s991.ctg001085c,NA
s25.ctg013925l,NA
s15819.ctg018694l,NA
s6012.ctg006936l,NA
s16718.ctg019777l,NA
s23019.ctg027428l,NA
s23854.ctg028484l,NA
s7837.ctg009063l,NA
s34346.ctg042199l,NA
s397.ctg000430l,NA
s10805.ctg012658l,NA
s6565.ctg007586l,NA
s686.ctg016183l,NA
s35938.ctg044352l,NA
s25.ctg044933l,NA
s17.ctg046428l,NA
s3569.ctg004048l,NA
s307.ctg052652l,NA
s23843.ctg028470l,NA
s25.ctg012863l,NA
s332.ctg000359l,NA
s26309.ctg031621l,NA
s25.ctg014455l,NA
s845.ctg024271l,NA
s361.ctg004798l,NA
s628.ctg000681l,NA
s10304.ctg012051l,NA
s43448.ctg057506l,NA
s15542.ctg018357l,NA
s354.ctg052108l,NA
s23132.ctg027570l,NA
s25.ctg051034l,NA
s17554.ctg020799l,NA
s5315.ctg006106c,NA
s7739.ctg019087l,NA
s25.ctg041089l,NA
s25.ctg059840l,NA
s47.ctg010382l,NA
s5011.ctg005771l,NA
s757.ctg007546l,NA
s717.ctg057244l,NA
s13568.ctg046710l,NA
s22142.ctg026363l,NA
s11258.ctg013203l,NA
s14.ctg040847l,NA
s25.ctg049850l,NA
s2383.ctg002696l,NA
s24868.ctg029772l,NA
s32386.ctg039551l,NA
s1014.ctg001110l,NA
s7012.ctg008106l,NA
s17.ctg007521l,NA
s48.ctg002247l,NA
s26361.ctg031690l,NA
s35568.ctg043870l,NA
s3352.ctg003790l,NA
s36004.ctg044444l,NA
s23443.ctg027965l,NA
s24162.ctg028875l,NA
s8199.ctg009512l,NA
s1203.ctg001322c,NA
s15411.ctg018194l,NA
s962.ctg047462l,NA
s2386.ctg024239l,NA
s6393.ctg049644l,NA
s47.ctg026640l,NA
s2685.ctg003022c,NA
s19960.ctg023712l,NA
s25.ctg011702l,NA
s34224.ctg042025l,NA
s6827.ctg007893l,NA
s98.ctg000103l,NA
s709.ctg000766l,NA
s25.ctg051286l,NA
s1440.ctg014430l,NA
s722.ctg004895l,NA
s47.ctg035873l,NA
s20568.ctg024447l,NA
s10159.ctg027484l,NA
s17.ctg002322l,NA
s17210.ctg020386l,NA
s25.ctg027423l,NA
s17.ctg014849l,NA
s981.ctg045972l,NA
s25.ctg038126l,NA
s19781.ctg023496l,NA
s1627.ctg001815l,NA
s6974.ctg008066l,NA
s1321.ctg001462l,NA
s17.ctg020096l,NA
s43169.ctg056699l,NA
s3274.ctg003701l,NA
s238.ctg045607l,NA
s15595.ctg018425l,NA
s25.ctg044534l,NA
s1136.ctg046158l,NA
s12892.ctg015158l,NA
s7560.ctg008751l,NA
s25.ctg057640l,NA
s14075.ctg016571l,NA
s1745.ctg053929l,NA
s1002.ctg001098l,NA
s266.ctg053721l,NA
s26146.ctg031421l,NA
s3933.ctg004464l,NA
s25.ctg050850l,NA
s28134.ctg033997l,NA
s10251.ctg011987c,NA
s99.ctg000104l,NA
s25.ctg024230l,NA
s1389.ctg001540l,NA
s14657.ctg017279l,NA
s13787.ctg016222c,NA
s10610.ctg012419c,NA
s37394.ctg046400l,NA
s309.ctg051838l,NA
s12832.ctg015085l,NA
s30967.ctg037694l,NA
s8266.ctg009594l,NA
s9175.ctg010694l,NA
s3309.ctg051356l,NA
s20412.ctg024259l,NA
s34879.ctg042943l,NA
s25.ctg052117l,NA
s38621.ctg048190l,NA
s1139.ctg001250l,NA
s1571.ctg023884l,NA
s25.ctg041343l,NA
s107.ctg000116l,NA
s22306.ctg026555c,NA
s14.ctg007841l,NA
s66.ctg004373l,NA
s30170.ctg036655l,NA
s981.ctg016708l,NA
s25.ctg014933l,NA
s17.ctg026453l,NA
s33345.ctg040851l,NA
s191.ctg000206l,NA
s7876.ctg009118l,NA
s6179.ctg007129c,NA
s6563.ctg007583c,NA
s18833.ctg022349l,NA
s10366.ctg012123l,NA
s17.ctg025575l,NA
s7624.ctg024882l,NA
s1765.ctg001974l,NA
s872.ctg000954l,NA
s663.ctg000718c,NA
s3447.ctg003903l,NA
s33200.ctg040667l,NA
s657.ctg003551l,NA
s25.ctg057606l,NA
s41936.ctg053887l,NA
s41397.ctg052881l,NA
s8355.ctg009702c,NA
s17.ctg026566l,NA
s23076.ctg027498l,NA
s34528.ctg042461l,NA
s20910.ctg024861l,NA
s256.ctg048478l,NA
s238.ctg058845l,NA
s24165.ctg028879l,NA
s21397.ctg025449l,NA
s9649.ctg011272l,NA
s13573.ctg015974l,NA
s10818.ctg012675l,NA
s25.ctg056662l,NA
s9048.ctg010532l,NA
s25.ctg051380l,NA
s1455.ctg042119l,NA
s25.ctg055447l,NA
s4555.ctg005199c,NA
s25.ctg032808l,NA
s20781.ctg024706l,NA
s373.ctg033607l,NA
s14027.ctg016513c,NA
