contig_ID,Methylation_MAG
s10.ctg005298l,C2
s252.ctg000287l,NA
s32964.ctg036264l,NA
s6962.ctg007773l,NA
s23743.ctg026150l,NA
s17108.ctg018923l,NA
s4772.ctg005363l,NA
s6469.ctg007221l,NA
s1366.ctg001532l,NA
s32398.ctg035654l,NA
s6402.ctg007148l,NA
s14333.ctg015872l,NA
s36485.ctg040137l,NA
s1148.ctg001292l,NA
s150.ctg007519l,NA
s36096.ctg039700l,NA
s10.ctg045603l,NA
s3766.ctg004251l,NA
s27533.ctg030317l,NA
s12382.ctg013731l,NA
s36692.ctg040358l,NA
s38957.ctg042893l,NA
s23307.ctg025656l,NA
s10.ctg001430l,NA
s9573.ctg010659l,NA
s34219.ctg037630l,NA
s26884.ctg029600l,NA
s25905.ctg028510l,NA
s19650.ctg021682l,NA
s20795.ctg022929c,NA
s9707.ctg010800l,NA
s25689.ctg028275l,NA
s1227.ctg001383l,NA
s10.ctg030808l,NA
s7913.ctg008831l,NA
s2156.ctg002444l,NA
s29855.ctg032866l,NA
s31137.ctg034275l,NA
s45916.ctg050772l,NA
s1346.ctg001512l,NA
s29018.ctg031949l,NA
s49913.ctg055423l,NA
s30516.ctg033590l,NA
s24230.ctg026681l,NA
s52547.ctg058754l,NA
s27419.ctg030191l,NA
s40095.ctg044196l,NA
s10335.ctg011473l,NA
s10.ctg005281l,NA
s49368.ctg054765l,NA
s28807.ctg031715l,NA
s12869.ctg014264l,NA
s25721.ctg028311l,NA
s10.ctg004199l,NA
s11336.ctg012574l,NA
s53101.ctg059475l,NA
s4859.ctg005459l,NA
s10236.ctg011369l,NA
s49099.ctg054452l,NA
s10.ctg023793l,NA
s102.ctg004946l,NA
s2383.ctg002696l,NA
s7240.ctg008074l,NA
s10.ctg012901l,NA
s4537.ctg005104l,NA
s52245.ctg058343l,NA
s29997.ctg033020l,NA
s36491.ctg040144l,NA
s2479.ctg002799l,NA
s20585.ctg022698l,NA
s23591.ctg025984l,NA
s12680.ctg014060l,NA
s572.ctg000649l,NA
s5608.ctg006278l,NA
s12826.ctg014220l,NA
s276.ctg000315l,NA
s16176.ctg017898l,NA
s41622.ctg045886l,NA
s27275.ctg030027l,NA
s15507.ctg017157l,NA
s11892.ctg013188l,NA
s10.ctg017562l,NA
s46414.ctg051337l,NA
s911.ctg001026l,NA
s17065.ctg018877l,NA
s9229.ctg010277l,NA
s10573.ctg011741l,NA
s39485.ctg043493l,NA
s1316.ctg001478l,NA
s3087.ctg003479l,NA
s6417.ctg007165l,NA
s17068.ctg018880l,NA
s10490.ctg011650l,NA
s10.ctg000269l,NA
s28392.ctg031269l,NA
s31567.ctg034745l,NA
s15419.ctg017055l,NA
s25124.ctg027663l,NA
s5492.ctg006149l,NA
s19174.ctg021171l,NA
s47967.ctg053142l,NA
s42112.ctg046442l,NA
s39279.ctg043261l,NA
s10332.ctg011469l,NA
s6364.ctg007104l,NA
s9140.ctg010181l,NA
s25824.ctg028422l,NA
s36705.ctg040371l,NA
s29709.ctg032703l,NA
s564.ctg006175l,NA
s21631.ctg023836l,NA
s22128.ctg024371l,NA
s34678.ctg038138l,NA
s11444.ctg012692l,NA
s11790.ctg013074l,NA
s10.ctg026169l,NA
s46090.ctg050966l,NA
s26990.ctg029716l,NA
s47521.ctg052624l,NA
s44563.ctg049226l,NA
s10.ctg005110l,NA
s29961.ctg032981l,NA
s37094.ctg040814l,NA
s9554.ctg010638l,NA
s11643.ctg012913l,NA
s12688.ctg014069l,NA
s10.ctg057525l,NA
s10.ctg028504l,NA
s54270.ctg061197l,NA
s10.ctg031164l,NA
s16774.ctg018560l,NA
s29289.ctg032248l,NA
s24040.ctg026478l,NA
s9655.ctg010744l,NA
s48779.ctg054070l,NA
s37273.ctg041011l,NA
s13313.ctg014757l,NA
s44003.ctg048585l,NA
s42435.ctg046805l,NA
s6366.ctg007106l,NA
s28534.ctg031423l,NA
s7814.ctg008724l,NA
s29735.ctg032733l,NA
s10.ctg015320l,NA
s17063.ctg018875l,NA
s16702.ctg018481l,NA
s37179.ctg040906l,NA
s43509.ctg048006l,NA
s22004.ctg024242l,NA
s47861.ctg053020l,NA
s5440.ctg006093l,NA
s15209.ctg016831l,NA
s24845.ctg027355l,NA
s25184.ctg027727l,NA
s10.ctg005470l,NA
s28446.ctg031329l,NA
s10.ctg025180l,NA
s10.ctg010384l,NA
s42849.ctg047269l,NA
s28018.ctg030853l,NA
s14950.ctg016539l,NA
s10.ctg003080l,NA
s3164.ctg003563l,NA
s28988.ctg031916l,NA
s10.ctg021736l,NA
s10.ctg001354l,NA
s3933.ctg004434l,NA
s41583.ctg045843l,NA
s3115.ctg003510l,NA
s41660.ctg045932l,NA
s35125.ctg038632l,NA
s10.ctg002000l,NA
s10.ctg044034l,NA
s29460.ctg032434l,NA
s7414.ctg008267l,NA
s3477.ctg003922l,NA
s46598.ctg051547l,NA
s7700.ctg008599l,NA
s21854.ctg024083l,NA
s2380.ctg002693l,NA
s31402.ctg034565l,NA
s1636.ctg001842l,NA
s33350.ctg036685l,NA
s11392.ctg012632l,NA
s14940.ctg016528l,NA
s9667.ctg010756l,NA
s52804.ctg059088l,NA
s7296.ctg008138l,NA
s12624.ctg013996l,NA
s43481.ctg047973l,NA
s10570.ctg011738l,NA
s29791.ctg032798l,NA
s50376.ctg055990l,NA
s1027.ctg001152l,NA
s768.ctg011341l,NA
s51175.ctg056960l,NA
s28779.ctg031686l,NA
s6248.ctg006977l,NA
s41025.ctg045224l,NA
s10.ctg003334l,NA
s17067.ctg018879l,NA
s45093.ctg049831l,NA
s10228.ctg011361l,NA
s29773.ctg032778l,NA
s18185.ctg020101l,NA
s10149.ctg011270l,NA
s49700.ctg055157l,NA
s27808.ctg030618l,NA
s48437.ctg053682l,NA
s20900.ctg023040l,NA
s23747.ctg026154l,NA
s14957.ctg016547l,NA
s253.ctg000288l,NA
s44309.ctg048929l,NA
s9645.ctg010734l,NA
s148.ctg005199l,NA
s12738.ctg014126l,NA
s22288.ctg024547l,NA
s10.ctg002059l,NA
s43443.ctg047933l,NA
s4640.ctg005220l,NA
s24942.ctg027461l,NA
s10.ctg028923l,NA
s19362.ctg021373l,NA
s10354.ctg011495l,NA
s53522.ctg060041l,NA
s38103.ctg041936l,NA
s41498.ctg045746l,NA
s24812.ctg027318l,NA
s38288.ctg042137l,NA
s47993.ctg053172l,NA
s38682.ctg042589l,NA
s966.ctg001087l,NA
s1484.ctg001670l,NA
s3502.ctg003949l,NA
s10.ctg003127l,NA
s10.ctg002374l,NA
s12736.ctg014122l,NA
s10.ctg047157l,NA
s1625.ctg001829l,NA
s13013.ctg014425l,NA
s31734.ctg034926l,NA
s23301.ctg025650l,NA
s51030.ctg056786l,NA
s10.ctg020963l,NA
s24702.ctg027199l,NA
s13048.ctg014462l,NA
s4682.ctg005267l,NA
s35365.ctg038898l,NA
s24836.ctg027346l,NA
s37643.ctg041422l,NA
s26851.ctg029565l,NA
s41529.ctg045784l,NA
s48407.ctg053651l,NA
s50972.ctg056716l,NA
s38082.ctg041912l,NA
s52629.ctg058869l,NA
s30914.ctg034027l,NA
s10.ctg000057l,NA
s52940.ctg059263l,NA
s17133.ctg018950l,NA
s16627.ctg018403l,NA
s7694.ctg008591l,NA
s44298.ctg048915l,NA
s2750.ctg003099l,NA
s906.ctg001019l,NA
s7595.ctg008481l,NA
s17047.ctg018859l,NA
s28942.ctg031866l,NA
s2722.ctg003069l,NA
s7448.ctg008308l,NA
s9533.ctg010615l,NA
s27645.ctg030436l,NA
s31317.ctg034470l,NA
s28931.ctg031854l,NA
s15807.ctg017480l,NA
s52920.ctg059238l,NA
s10028.ctg011143l,NA
s2403.ctg002717l,NA
s20412.ctg022513l,NA
s29393.ctg032359l,NA
s49447.ctg054858l,NA
s13579.ctg015049l,NA
s8665.ctg009660l,NA
s30759.ctg033854l,NA
s18525.ctg020472l,NA
s45449.ctg050245l,NA
s43068.ctg047520l,NA
s35670.ctg039237l,NA
s53107.ctg059484l,NA
s40110.ctg044212l,NA
s19873.ctg021929l,NA
s18936.ctg020916l,NA
s6862.ctg007655l,NA
s10.ctg000062l,NA
s53995.ctg060740l,NA
s10.ctg055363l,NA
s31918.ctg035125l,NA
s24793.ctg027298l,NA
s5773.ctg006458l,NA
s65.ctg000078l,NA
