Contig_Names	Name
s56.ctg000071c	complete.14
s133.ctg000177c	complete.26
s32.ctg000038c	complete.8
s112.ctg000152c	complete.23
s1.ctg000569l	complete.65
s1.ctg000331l	complete.43
s1.ctg000219l	complete.28
s317.ctg000448c	complete.57
s22.ctg000027c	complete.5
s1.ctg000788l	complete.86
s1.ctg000146l	complete.20
s1.ctg000778l	complete.85
s1629.ctg002300c	complete.143
s223.ctg000290c	complete.38
s53.ctg000126l	complete.19
s2214.ctg003167c	complete.165
s266.ctg000364l	complete.48
s79.ctg000100c	complete.17
s116.ctg000156c	complete.24
s271.ctg000379l	complete.49
s760.ctg001077l	complete.98
s52.ctg000482l	complete.60
s536.ctg000759l	semibin2_3
s5341.ctg007718c	metabat2.42
s1.ctg002133l	semibin2_232
s535.ctg000758l	metabat2.793
s562.ctg001344l	semibin2_23
s505.ctg000719c, s533.ctg000755l	metabat2.330
s411.ctg000587l, s484.ctg000694l	semibin2_22
s917.ctg001288c, s2306.ctg003303l	semibin2_1
s1.ctg001225l, s1.ctg002524l	metabat2.853
s1.ctg000422l, s1.ctg003810l	metabat2.656
s1.ctg000602l, s1.ctg002521l	metabat2.144
s1875.ctg002678l, s2675.ctg003839l	metabat2.1049
s53.ctg000067l, s53.ctg000401l	metabat2.809
s562.ctg000906l, s1370.ctg001917l	metabat2.1227_sub
s2276.ctg003262l, s6318.ctg009142l, s27665.ctg040489l	metabat2.279
s1.ctg000002l, s1.ctg004508l, s1.ctg015087l	semibin2_8
s714.ctg001012l, s1439.ctg002021c, s19010.ctg027450c	metabat2.838
s1.ctg000044l, s1.ctg000409l, s6731.ctg009745l	metabat2.161
s3500.ctg005047l, s4098.ctg005917l, s8942.ctg012970l	metabat2.426
s1.ctg002056l, s21478.ctg031123l, s21592.ctg031276l	semibin2_51
s1.ctg000421l, s1.ctg000926l, s1.ctg005434l	semibin2_43
s25.ctg000030l, s1.ctg003986l, s1.ctg006066l	semibin2_32
s1.ctg001020l, s1.ctg001674l, s1.ctg003389l, s1.ctg004059l	metabat2.680
s1621.ctg002289l, s4052.ctg005847l, s6355.ctg009194l, s9476.ctg013723l	metabat2.1017
s2315.ctg003316l, s5466.ctg007901l, s21647.ctg031358l, s27008.ctg039498l	semibin2_60
s136.ctg000180l, s1076.ctg001516l, s2460.ctg003524l, s5106.ctg007378l, s10530.ctg015241l	semibin2_66
s10.ctg000012l, s575.ctg000818l, s1721.ctg002436l, s3468.ctg005006l, s7896.ctg011449l, s32793.ctg048413l	metabat2.629
s571.ctg000813l, s1345.ctg001883l, s1900.ctg002709l, s1.ctg005455l, s1.ctg005597l, s1.ctg009018l, s12636.ctg018232l	semibin2_16
s1475.ctg002072l, s1475.ctg002197l, s1475.ctg002917l, s1475.ctg003049l, s1475.ctg005405l, s4216.ctg006110l, s1475.ctg011962l	semibin2_101
s1.ctg000047l, s1.ctg001485l, s1.ctg002579l, s1.ctg002671l, s1.ctg009014l, s1.ctg010590l, s26686.ctg038999l, s36141.ctg053818l	semibin2_7
s562.ctg001324l, s1293.ctg001812l, s562.ctg003907l, s3566.ctg005146l, s562.ctg006349l, s562.ctg008395l, s20358.ctg029423l, s25450.ctg037118l	semibin2_96
s1.ctg001179l, s1.ctg001245l, s1.ctg003179l, s1.ctg004132l, s1.ctg004443l, s1.ctg008587l, s1.ctg010107l, s23209.ctg033704l	metabat2.843
s1.ctg000266l, s259.ctg000350l, s1.ctg002238l, s1620.ctg002288l, s3831.ctg005545l, s1.ctg006039l, s43296.ctg068558l, s43486.ctg069072l	semibin2_83
s1.ctg000252l, s1.ctg000473l, s1.ctg000579l, s1.ctg001954l, s1.ctg012714l, s1.ctg017417l, s24161.ctg035136l, s27438.ctg040143l	metabat2.741
s1.ctg000222l, s1.ctg000461l, s1.ctg001738l, s1.ctg002735l, s2185.ctg003125l, s6892.ctg009964l, s10482.ctg015167l, s1.ctg021018l, s25944.ctg037899l	semibin2_6
s9.ctg000011l, s181.ctg000239l, s577.ctg000820c, s945.ctg001325l, s1661.ctg002352l, s2470.ctg003543l, s2849.ctg004098l, s8494.ctg012311l, s18361.ctg026495l	metabat2.669
s1230.ctg001728l, s1622.ctg002291l, s1728.ctg002444l, s5204.ctg007521l, s1.ctg010434l, s1.ctg013634l, s12545.ctg018102l, s14359.ctg020728l, s18606.ctg026844l	metabat2.388
s110.ctg000149l, s776.ctg001099l, s2136.ctg003054l, s4453.ctg006440l, s110.ctg006918l, s6340.ctg009172c, s11511.ctg016675l, s13223.ctg019074l, s15684.ctg022600l	metabat2.824
s248.ctg000333l, s2732.ctg003923l, s3007.ctg004328l, s3109.ctg004491l, s7410.ctg010725l, s8484.ctg012291l, s9440.ctg013668l, s11339.ctg016420l, s34811.ctg051638l	semibin2_31
s1.ctg000411l, s1.ctg000604l, s1.ctg003299l, s1.ctg004045l, s1.ctg004124l, s1.ctg005857l, s1.ctg007765l, s1.ctg020697l, s27578.ctg040353l	metabat2.807
s1.ctg000106l, s1.ctg001056l, s1.ctg001482l, s1457.ctg002046l, s2097.ctg002991l, s3849.ctg005567l, s1.ctg006136l, s4821.ctg006969l, s8772.ctg012726l	metabat2.34
s1.ctg001232l, s1.ctg001736l, s1.ctg003189l, s1.ctg003931l, s3121.ctg004509l, s3888.ctg005622l, s1.ctg006112l, s1.ctg010991l, s16485.ctg023790l, s17337.ctg024987l	semibin2_13
s51.ctg000064l, s51.ctg000250l, s51.ctg000318l, s51.ctg000358l, s429.ctg000617l, s51.ctg001493l, s51.ctg001609l, s51.ctg002324l, s51.ctg002438l, s51.ctg003091l, s51.ctg005637l	metabat2.998
s1.ctg000658l, s1.ctg002263l, s1.ctg002778l, s1.ctg003082l, s1.ctg006035l, s1.ctg007433l, s1.ctg009182l, s1.ctg009638l, s1.ctg010876l, s1.ctg017274l, s1.ctg021241l	metabat2.364
s221.ctg000288l, s311.ctg000438l, s426.ctg000609l, s607.ctg000862l, s2682.ctg003848l, s7738.ctg011221l, s10518.ctg015225l, s14658.ctg021145l, s16417.ctg023678l, s16909.ctg024384l, s24529.ctg035686l	semibin2_24
s211.ctg000278l, s262.ctg000357l, s1.ctg000400l, s1.ctg000743l, s1150.ctg001619l, s1150.ctg002060l, s1150.ctg002967l, s2721.ctg003909l, s5408.ctg007816l, s13929.ctg020105l, s19988.ctg028886l, s31681.ctg046709l, s34427.ctg051041l	semibin2_9
s72.ctg000090l, s1.ctg000158l, s240.ctg000314l, s1.ctg000608l, s545.ctg000770l, s2148.ctg003072l, s2802.ctg004030l, s8496.ctg012316l, s11143.ctg016135l, s21643.ctg031352l, s33666.ctg049792l, s39183.ctg059330l, s42141.ctg065802l	semibin2_17
s415.ctg000592l, s1053.ctg001489l, s1591.ctg002239l, s1.ctg002541l, s1.ctg003110l, s2436.ctg003491l, s2865.ctg004125l, s4522.ctg006538l, s4703.ctg006804l, s4940.ctg007130l, s5991.ctg008681l, s15241.ctg021963l, s23040.ctg033442l	metabat2.437
