contig_ID,Methylation_MAG
s11680.ctg016811l,C2
s4.ctg005206l,C3
s4.ctg000209l,C5
s4.ctg016419l,C7
s4.ctg034248l,NA
s30909.ctg045958l,NA
s4.ctg049861l,NA
s38185.ctg059098l,NA
s34694.ctg052443l,NA
s6313.ctg009173l,NA
s4.ctg032198l,NA
s6075.ctg008796l,NA
s1681.ctg002431l,NA
s26937.ctg039637l,NA
s23367.ctg034123l,NA
s3734.ctg005433l,NA
s30270.ctg044959l,NA
s4.ctg047603l,NA
s21719.ctg031693l,NA
s33931.ctg050982l,NA
s10521.ctg015150l,NA
s26129.ctg038394l,NA
s4.ctg025822l,NA
s24619.ctg036080l,NA
s4.ctg035207l,NA
s27131.ctg039929l,NA
s4.ctg071545l,NA
s41239.ctg065624l,NA
s7471.ctg010851l,NA
s10120.ctg014614l,NA
s4.ctg058803l,NA
s34452.ctg051982l,NA
s4.ctg047413l,NA
s341.ctg000487l,NA
s4.ctg045676l,NA
s20214.ctg029409l,NA
s42561.ctg068931l,NA
s41369.ctg065974l,NA
s322.ctg061837l,NA
s322.ctg051277l,NA
s4.ctg059376l,NA
s4.ctg036838l,NA
s34277.ctg051643l,NA
s4.ctg046805l,NA
s4.ctg020718l,NA
s29511.ctg043717l,NA
s4.ctg038399l,NA
s37867.ctg058499l,NA
s4.ctg038376l,NA
s4.ctg047369l,NA
s4.ctg006251l,NA
s4.ctg059337l,NA
s421.ctg000593l,NA
s4.ctg065801l,NA
s31689.ctg047261l,NA
s4.ctg066127l,NA
s40660.ctg064265l,NA
s4411.ctg006377l,NA
s6222.ctg009016l,NA
s4.ctg002856l,NA
s4.ctg018860l,NA
s4.ctg055960l,NA
s30030.ctg044562l,NA
s40827.ctg064660l,NA
s4.ctg068484l,NA
s4.ctg027469l,NA
s32484.ctg048548l,NA
s3533.ctg005133l,NA
s21.ctg017235l,NA
s6232.ctg009032l,NA
s21.ctg031133l,NA
s33882.ctg050910l,NA
s4.ctg071915l,NA
s4.ctg034632l,NA
s4.ctg017855l,NA
s4.ctg039327l,NA
s4.ctg005769l,NA
s4.ctg061617l,NA
s21.ctg018907l,NA
s4.ctg029499l,NA
s4.ctg001914l,NA
s4.ctg069695l,NA
s4.ctg066826l,NA
s343.ctg023654l,NA
s4.ctg029835l,NA
s4.ctg045116l,NA
s4.ctg061039l,NA
s21.ctg021648l,NA
s8778.ctg012692l,NA
s4.ctg028298l,NA
s4.ctg002099l,NA
s13180.ctg018974l,NA
s4.ctg066544l,NA
s4.ctg015534l,NA
s4.ctg072255l,NA
s23325.ctg034062l,NA
s20160.ctg029315l,NA
s4303.ctg006232l,NA
s4.ctg060304l,NA
s4.ctg038202l,NA
s633.ctg011201l,NA
s8923.ctg012908l,NA
s4.ctg008403l,NA
s4.ctg000916l,NA
s31812.ctg047459l,NA
s12191.ctg017571l,NA
s4.ctg012852l,NA
s38697.ctg060147l,NA
s159.ctg000236l,NA
s4.ctg038037l,NA
s4.ctg053246l,NA
s4.ctg064363l,NA
s4.ctg032815l,NA
s2139.ctg003119l,NA
s27445.ctg040424l,NA
s40159.ctg063200l,NA
s20524.ctg029888l,NA
s14093.ctg020381l,NA
s4.ctg041643l,NA
s43051.ctg070262l,NA
s3589.ctg005215l,NA
s18854.ctg027394l,NA
s23304.ctg034030l,NA
s4.ctg071113l,NA
s4.ctg063175l,NA
s21300.ctg031074l,NA
s22048.ctg032182l,NA
s29335.ctg043405l,NA
s4.ctg047074l,NA
s13550.ctg019537l,NA
s21.ctg036224l,NA
s4.ctg042195l,NA
s4.ctg009321l,NA
s29077.ctg042986l,NA
s4.ctg042250l,NA
s21.ctg032771l,NA
s41706.ctg066740l,NA
s35972.ctg054820l,NA
s14905.ctg021566l,NA
s12685.ctg018269l,NA
s19369.ctg028151l,NA
s2156.ctg003142l,NA
s4.ctg068364l,NA
s4.ctg072644l,NA
s28577.ctg042213l,NA
s4.ctg029582l,NA
s22247.ctg032490l,NA
s31013.ctg046120l,NA
s4.ctg000163l,NA
s17103.ctg024797l,NA
s6203.ctg008982l,NA
s42351.ctg068370l,NA
s38727.ctg060214l,NA
s31691.ctg047264l,NA
s5440.ctg007873l,NA
s21.ctg070621l,NA
s4.ctg055076l,NA
s7612.ctg011033l,NA
s11386.ctg016396l,NA
s4.ctg024756l,NA
s4.ctg066745l,NA
s4.ctg012070l,NA
s33116.ctg049622l,NA
s6017.ctg008709l,NA
s4.ctg072457l,NA
s4.ctg046993l,NA
s25958.ctg038134l,NA
s4.ctg055217l,NA
s40749.ctg064476l,NA
s4.ctg024727l,NA
s4.ctg070615l,NA
s27423.ctg040381l,NA
s4.ctg064583l,NA
s35783.ctg054474l,NA
s1654.ctg002392l,NA
s4.ctg057851l,NA
s4.ctg042082l,NA
s3487.ctg005074l,NA
s43468.ctg071473l,NA
s4.ctg026633l,NA
s4.ctg028352l,NA
s20777.ctg030285l,NA
s21.ctg001544l,NA
s7286.ctg010597l,NA
s4990.ctg007212l,NA
s4.ctg055614l,NA
s44085.ctg073333l,NA
s4.ctg028963l,NA
s32268.ctg048184l,NA
s4.ctg072434l,NA
s4.ctg056184l,NA
s14690.ctg021251l,NA
s32179.ctg048056l,NA
s4.ctg016775l,NA
s42323.ctg068292l,NA
s28103.ctg041429l,NA
s35697.ctg054301l,NA
s4.ctg059010l,NA
s28620.ctg042280l,NA
s9795.ctg014165l,NA
s4.ctg070207l,NA
s149.ctg036856l,NA
s39886.ctg062576l,NA
s4.ctg044409l,NA
s35431.ctg053807l,NA
s4.ctg066244l,NA
s322.ctg041226l,NA
s10549.ctg015189l,NA
s7075.ctg010279l,NA
s4.ctg024981l,NA
s33416.ctg050134l,NA
s37609.ctg057995l,NA
s149.ctg024072l,NA
s4.ctg048473l,NA
s4.ctg042649l,NA
s4.ctg053984l,NA
s4.ctg041306l,NA
s30727.ctg045673l,NA
s40898.ctg064812l,NA
s4.ctg036181l,NA
s4.ctg063281l,NA
s4.ctg001849l,NA
s2044.ctg002977l,NA
s4.ctg008271l,NA
s4.ctg058928l,NA
s30014.ctg044533l,NA
s4.ctg064957l,NA
s4.ctg012722l,NA
s67.ctg000094l,NA
s4.ctg070920l,NA
s4.ctg010707l,NA
s4.ctg021513l,NA
s5476.ctg007921l,NA
s4.ctg013577l,NA
s2681.ctg064531l,NA
s25245.ctg037052l,NA
s23830.ctg034848l,NA
s4.ctg056864l,NA
s3249.ctg004735l,NA
s31357.ctg046692l,NA
s14268.ctg020646l,NA
s30053.ctg044596l,NA
s32978.ctg049385l,NA
s4.ctg058333l,NA
s9768.ctg014132c,NA
s1000.ctg001448l,NA
s40049.ctg062947l,NA
s25132.ctg036869l,NA
s4.ctg002814l,NA
s4.ctg042658l,NA
s4.ctg019729l,NA
s17924.ctg026018l,NA
s4.ctg046868l,NA
s36668.ctg056148l,NA
s4.ctg058780l,NA
s19975.ctg029035l,NA
s4.ctg059170l,NA
s4.ctg006284l,NA
s9674.ctg013995l,NA
s5023.ctg007265l,NA
s4.ctg038322l,NA
s8943.ctg012937l,NA
s25899.ctg038042c,NA
s4.ctg038260l,NA
s16351.ctg023669l,NA
s4.ctg066288l,NA
s4.ctg032410l,NA
s2762.ctg004005l,NA
s4.ctg073592l,NA
s13284.ctg019140l,NA
s14756.ctg021349l,NA
s37932.ctg058618l,NA
s653.ctg000941l,NA
s4.ctg004666l,NA
s22245.ctg032487c,NA
s12976.ctg018692l,NA
s322.ctg058811l,NA
s4.ctg002677l,NA
s4374.ctg006325l,NA
s36555.ctg055957l,NA
s322.ctg037762l,NA
s4.ctg012341l,NA
s4.ctg073293l,NA
s42281.ctg068176l,NA
s4.ctg064608l,NA
s14891.ctg021545l,NA
s4901.ctg067593l,NA
s21199.ctg030928l,NA
s4.ctg052580l,NA
s2191.ctg003201l,NA
s4.ctg038341l,NA
s4.ctg049510l,NA
s4.ctg049832l,NA
s33902.ctg050939l,NA
s4.ctg069744l,NA
s4.ctg058330l,NA
s4.ctg024753l,NA
s3312.ctg004814l,NA
s4.ctg021594l,NA
s8021.ctg011610l,NA
s4.ctg004488l,NA
s322.ctg049771l,NA
s633.ctg067388l,NA
s20892.ctg030458l,NA
s20594.ctg029992l,NA
s4.ctg041238l,NA
s24685.ctg036168l,NA
s16829.ctg024376l,NA
s4.ctg047510l,NA
s28156.ctg041525l,NA
s4.ctg064098l,NA
s4.ctg060192l,NA
s40210.ctg063310l,NA
