clade_name	EFF1	EFF2	EFF3	INF1	INF2	INF3	SLU1	SLU2	SLU3
d__Archaea	1.9453000000000005	1.5536999999999996	1.0867	0.182	0.1253	2.0484000000000004	11.972400000000002	12.203700000000005	11.070000000000002
d__Archaea|p__Halobacteriota	1.6951000000000005	1.2905999999999995	0.9589	0.1005	0.0783	1.9199	10.2294	10.544300000000002	9.545300000000005
d__Archaea|p__Halobacteriota|c__Methanomicrobia	0.987	0.6847	0.2377999999999999	0.0019	0.0	1.3954	6.564299999999999	6.374899999999999	5.8417
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales	0.987	0.6847	0.2377999999999999	0.0019	0.0	1.3954	6.564299999999999	6.374899999999999	5.8417
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	0.0	0.0	0.0	0.0019	0.0	0.0022	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0.0	0.0	0.0	0.0019	0.0	0.0022	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_parvum	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_parvum|t__GCA_002287215.1	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_sp002506085	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_sp002506085|t__GCA_002506085.1	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae	0.6639999999999999	0.4352	0.0971	0.0	0.0	0.0025	0.0157	0.014	0.0071
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus	0.6639999999999999	0.4352	0.0971	0.0	0.0	0.0025	0.0157	0.014	0.0071
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus|s__Methanoculleus_sp001896715	0.0739	0.0672	0.006	0.0	0.0	0.0	0.0028	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus|s__Methanoculleus_sp001896715|t__GCA_017994915.1	0.0739	0.0672	0.006	0.0	0.0	0.0	0.0028	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus|s__Methanoculleus_sp002497965	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus|s__Methanoculleus_sp002497965|t__GCA_002497965.1	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus|s__Methanoculleus_sp019136335	0.5901	0.357	0.0911	0.0	0.0	0.0025	0.0129	0.014	0.0071
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus|s__Methanoculleus_sp019136335|t__GCA_019136335.1	0.5901	0.357	0.0911	0.0	0.0	0.0025	0.0129	0.014	0.0071
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae	0.323	0.2495	0.1407	0.0	0.0	1.3907	6.548599999999999	6.360899999999999	5.8346
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanolinea_A	0.0	0.0	0.0	0.0	0.0	0.0019	0.0111	0.0173	0.0159
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanolinea_A|s__Methanolinea_A_sp002506105	0.0	0.0	0.0	0.0	0.0	0.0019	0.0111	0.0173	0.0159
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanolinea_A|s__Methanolinea_A_sp002506105|t__GCA_002506105.1	0.0	0.0	0.0	0.0	0.0	0.0019	0.0111	0.0173	0.0159
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanoregula	0.0122	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanoregula|s__Methanoregula_formicica	0.0122	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanoregula|s__Methanoregula_formicica|t__GCF_000327485.1	0.0122	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	0.148	0.0991	0.0114	0.0	0.0	0.0389	0.328	0.3754	0.2243999999999999
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei	0.0861	0.0574	0.0114	0.0	0.0	0.019	0.108	0.1297	0.0676
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei_B	0.0492	0.0372	0.0	0.0	0.0	0.0131	0.0478	0.0668	0.0449
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei_B|t__GCF_020216685.1	0.0492	0.0372	0.0	0.0	0.0	0.0131	0.0478	0.0668	0.0449
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei|t__GCF_000013445.1	0.0861	0.0574	0.0114	0.0	0.0	0.019	0.108	0.1297	0.0676
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_sp012520015	0.0	0.0	0.0	0.0	0.0	0.0	0.0179	0.0196	0.0209
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_sp012520015|t__GCA_012520015.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0179	0.0196	0.0209
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_sp012729535	0.0	0.0	0.0	0.0	0.0	0.0	0.0235	0.0254	0.0112
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_sp012729535|t__GCA_012729535.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0235	0.0254	0.0112
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_sp012729995	0.0127	0.0045	0.0	0.0	0.0	0.0068	0.1308	0.1339	0.0798
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_sp012729995|t__GCF_019263745.1	0.0127	0.0045	0.0	0.0	0.0	0.0068	0.1308	0.1339	0.0798
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA288	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0056	0.0026
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA288|s__UBA288_sp949320185	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0056	0.0026
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA288|s__UBA288_sp949320185|t__GCA_949320185.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0056	0.0026
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949	0.1628	0.1459	0.1293	0.0	0.0	1.3499	6.2048	5.9626	5.5917
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949|s__UBA9949_sp002068435	0.0	0.0	0.0	0.0	0.0	0.0	0.0089	0.0111	0.0126
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949|s__UBA9949_sp002068435|t__GCA_002068435.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0089	0.0111	0.0126
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949|s__UBA9949_sp012516785	0.1628	0.1459	0.1293	0.0	0.0	1.3239	6.0317	5.782	5.4077
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949|s__UBA9949_sp012516785|t__GCA_012516785.1	0.1628	0.1459	0.1293	0.0	0.0	1.3239	6.0317	5.782	5.4077
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949|s__UBA9949_sp022710385	0.0	0.0	0.0	0.0	0.0	0.026	0.1642	0.1695	0.1714
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949|s__UBA9949_sp022710385|t__GCA_022710385.1	0.0	0.0	0.0	0.0	0.0	0.026	0.1642	0.1695	0.1714
d__Archaea|p__Halobacteriota|c__Methanosarcinia	0.7081	0.6059	0.7211000000000001	0.0986	0.0783	0.5244999999999999	3.6651	4.1694	3.7036
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales	0.0588	0.0261999999999999	0.0499	0.0224	0.0178	0.0066	0.0109	0.0121999999999999	0.01
