clade_name	EFF1	EFF2	EFF3	INF1	INF2	INF3	SLU1	SLU2	SLU3
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0.0	0.0	0.0	0.0019	0.0	0.0022	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__Methanoculleus	0.6639999999999999	0.4352	0.0971	0.0	0.0	0.0025	0.0157	0.014	0.0071
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanolinea_A	0.0	0.0	0.0	0.0	0.0	0.0019	0.0111	0.0173	0.0159
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanoregula	0.0122	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	0.148	0.0991	0.0114	0.0	0.0	0.0389	0.328	0.3754	0.2243999999999999
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA288	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0056	0.0026
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__UBA9949	0.1628	0.1459	0.1293	0.0	0.0	1.3499	6.2048	5.9626	5.5917
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans	0.0233	0.007	0.0	0.0189	0.0166	0.0033	0.0109	0.0121999999999999	0.01
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	0.0355	0.0192	0.0499	0.0035	0.0012	0.0033	0.0	0.0	0.0
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanotrichales|f__Methanotrichaceae|g__MVQI01	0.0	0.0	0.0	0.0	0.0	0.0	0.0079	0.0138	0.0029
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanotrichales|f__Methanotrichaceae|g__Methanothrix	0.6493	0.5797	0.6712	0.0762	0.0605	0.5178999999999999	3.6463	4.1434	3.6907
d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__CSSED10-239|f__CSSED10-239|g__JAKQTP01	0.0	0.0	0.0	0.0	0.0	0.0	0.0548	0.0385	0.0254
d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__Iainarchaeales|f__JAAZKV01|g__JAAZKV01	0.0549	0.0555	0.0329	0.0	0.0	0.0	0.0298	0.0250999999999999	0.0148
d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Methanofastidiosales|f__Methanofastidiosaceae|g__Methanofastidiosum	0.0769	0.0578	0.0629	0.0	0.0	0.0455	0.8929	0.9141	0.7167
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	0.0	0.0	0.0	0.0032	0.0	0.0031999999999999	0.0942999999999999	0.0515	0.059
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_C	0.0	0.0	0.0	0.0035	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A	0.005	0.0986	0.0034	0.0528	0.0435	0.0538999999999999	0.0101	0.0037	0.008
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_C	0.0	0.0	0.0	0.0009	0.0	0.0106	0.0064	0.0	0.0021
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0	0.0	0.0017	0.0	0.0024	0.0	0.0	0.0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__UBA412	0.0	0.0	0.0	0.0194	0.0035	0.0035	0.0	0.0	0.0
d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Pacearchaeales|f__GW2011-AR1|g__MWBV01	0.0295	0.0249	0.0286	0.0	0.0	0.0048	0.2555	0.2957	0.3648
d__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__UBA6	0.0	0.0	0.0	0.0	0.0	0.0	0.1741	0.1192999999999999	0.189
