sample	percent	reads	taxon_id	taxon_name
EFF1	12.664616	510631	359407	Methylotenera
EFF1	2.246506	90578	28065	Rhodoferax
EFF1	1.295998	52254	286	Pseudomonas
EFF1	1.283052	51732	12916	Acidovorax
EFF1	1.12241	45255	469	Acinetobacter
EFF1	0.967894	39025	237	Flavobacterium
EFF1	0.826325	33317	81	Hyphomicrobium
EFF1	0.792619	31958	816	Bacteroides
EFF1	0.694379	27997	80865	Delftia
EFF1	0.660549	26633	283	Comamonas
EFF1	0.65854	26552	73029	Dechloromonas
EFF1	0.591674	23856	34072	Variovorax
EFF1	0.569972	22981	88875	Ferribacterium
EFF1	0.568658	22928	33057	Thauera
EFF1	0.521782	21038	914	Nitrosomonas
EFF1	0.502908	20277	909656	Phocaeicola
EFF1	0.467342	18843	32008	Burkholderia
EFF1	0.423195	17063	572511	Blautia
EFF1	0.422699	17043	52972	Polaromonas
EFF1	0.419995	16934	16	Methylophilus
EFF1	0.418358	16868	1679002	Candidatus Methylopumilus
EFF1	0.40246	16227	47420	Hydrogenophaga
EFF1	0.397401	16023	81682	Methylovorus
EFF1	0.397054	16009	149698	Massilia
EFF1	0.387678	15631	146784	Bacteriovorax
EFF1	0.381602	15386	2872156	Methyloradius
EFF1	0.367589	14821	2593687	Aquella
EFF1	0.3192	12870	238749	Diaphorobacter
EFF1	0.312181	12587	642	Aeromonas
EFF1	0.300326	12109	106589	Cupriavidus
EFF1	0.298491	12035	374	Bradyrhizobium
EFF1	0.285023	11492	146937	Azospira
EFF1	0.283858	11445	352450	Simplicispira
EFF1	0.282518	11391	551759	Aromatoleum
EFF1	0.271035	10928	1883	Streptomyces
EFF1	0.269051	10848	1485	Clostridium
EFF1	0.250102	10084	3075137	Dermatobacter
EFF1	0.245142	9884	2321111	Aliarcobacter
EFF1	0.243158	9804	1822464	Paraburkholderia
EFF1	0.23289	9390	1004303	Ferruginibacter
EFF1	0.232146	9360	216851	Faecalibacterium
EFF1	0.227731	9182	28196	Arcobacter
EFF1	0.223167	8998	239759	Alistipes
EFF1	0.212255	8558	59732	Chryseobacterium
EFF1	0.207741	8376	416	Methylomonas
EFF1	0.200672	8091	92793	Aquabacterium
EFF1	0.200201	8072	401469	Undibacterium
EFF1	0.190503	7681	96	Gallionella
EFF1	0.189462	7639	453161	Candidatus Nitrotoga
EFF1	0.184402	7435	13687	Sphingomonas
EFF1	0.182368	7353	93217	Pandoraea
EFF1	0.179442	7235	2974251	Segatella
EFF1	0.174729	7045	12960	Azoarcus
EFF1	0.173985	7015	649461	Lacibacter
EFF1	0.173068	6978	68287	Mesorhizobium
EFF1	0.171183	6902	1054211	Sulfuritalea
EFF1	0.168355	6788	1524217	Labilithrix
EFF1	0.16719	6741	43773	Syntrophus
EFF1	0.166644	6719	375288	Parabacteroides
EFF1	0.166123	6698	456826	Candidatus Cloacimonas
EFF1	0.163717	6601	44249	Paenibacillus
EFF1	0.162378	6547	1386	Bacillus
EFF1	0.161312	6504	35798	Nitrosospira
EFF1	0.159451	6429	93681	Roseateles
EFF1	0.157095	6334	138117	Quatrionicoccus
EFF1	0.156822	6323	1114981	Piscinibacter
EFF1	0.156674	6317	29580	Janthinobacterium
EFF1	0.156574	6313	423349	Mucilaginibacter
EFF1	0.153375	6184	2222	Methanothrix
EFF1	0.152085	6132	1839	Nocardioides
EFF1	0.149481	6027	475	Moraxella
EFF1	0.14591	5883	665874	Limnohabitans
EFF1	0.145364	5861	233189	Anaerolinea
EFF1	0.143876	5801	391952	Aquincola
EFF1	0.142189	5733	34102	Sphaerotilus
EFF1	0.141867	5720	39643	Sorangium
EFF1	0.140602	5669	53	Nannocystis
EFF1	0.137403	5540	265	Paracoccus
EFF1	0.137229	5533	48736	Ralstonia
EFF1	0.136088	5487	338321	Turneriella
EFF1	0.132591	5346	2818469	Fuscovulum
EFF1	0.130557	5264	165695	Sphingobium
EFF1	0.128176	5168	535	Chromobacterium
EFF1	0.127928	5158	165696	Novosphingobium
EFF1	0.126986	5120	1331051	Candidatus Saccharimonas
EFF1	0.125994	5080	84567	Pedobacter
EFF1	0.123737	4989	187	Aquaspirillum
EFF1	0.122422	4936	222	Achromobacter
EFF1	0.120959	4877	838	Prevotella
EFF1	0.113469	4575	79328	Chitinophaga
EFF1	0.11327	4567	1866885	Mycolicibacterium
EFF1	0.111658	4502	958	Bdellovibrio
EFF1	0.11084	4469	379	Rhizobium
EFF1	0.110691	4463	45989	Methanoculleus
EFF1	0.110244	4445	68	Lysobacter
EFF1	0.109451	4413	88	Leptothrix
EFF1	0.10898	4394	89966	Hymenobacter
EFF1	0.106946	4312	2831665	Candidatus Mycosynbacter
EFF1	0.106499	4294	1350	Enterococcus
EFF1	0.104019	4194	316612	Methylibium
EFF1	0.102481	4132	311181	Denitratisoma
EFF1	0.101638	4098	517	Bordetella
EFF1	0.101341	4086	1778653	Sulfuriferula
EFF1	0.100944	4070	40323	Stenotrophomonas
EFF1	0.100845	4066	841	Roseburia
EFF1	0.097819	3944	201096	Alicycliphilus
EFF1	0.097397	3927	1678	Bifidobacterium
EFF1	0.097273	3922	404	Methylobacillus
EFF1	0.097124	3916	106591	Ensifer
EFF1	0.095115	3835	2772198	Sulfurimicrobium
