	EFF1	EFF2	EFF3	INF1	INF2	INF3	SLU1	SLU2	SLU3	SUM
class_A.hmm	24	25	22	41	61	45	2	5	9	234
B1.hmm	17	22	20	2	4	19	13	11	12	120
class_B_1_2.hmm	17	22	20	3	5	20	13	12	12	124
class_B_3.hmm	8	6	5	6	6	13	11	8	8	71
class_C.hmm	5	7	4	59	62	23	1	2	0	163
class_D_1.hmm	5	3	4	9	11	7	0	0	0	39
class_D_2.hmm	64	47	23	171	204	133	11	12	12	677
tet_efflux.hmm	0	3	0	78	54	18	0	0	0	153
tet_enzyme.hmm	32	55	28	2	1	3	0	0	0	121
tet_rpg.hmm	12	7	3	39	22	37	5	11	11	147
qnr.hmm	2	2	0	10	9	11	0	0	0	34
erm_typeA.hmm	0	0	0	2	0	1	0	0	0	3
erm_typeF.hmm	10	5	2	40	38	34	184	182	207	702
mph.hmm	2	2	0	117	75	32	4	6	5	243
aminoglycoside_model_a.hmm	0	1	1	0	0	0	0	0	0	2
aminoglycoside_model_b.hmm	3	0	1	1	3	1	0	0	1	10
aminoglycoside_model_c.hmm	7	8	1	9	2	10	12	13	16	78
aminoglycoside_model_d.hmm	2	0	1	2	1	2	6	7	6	27
aminoglycoside_model_e.hmm	6	5	4	6	6	11	20	23	21	102
aminoglycoside_model_f.hmm	1	3	0	0	0	2	16	15	14	51
aminoglycoside_model_g.hmm	0	2	0	0	0	2	31	36	38	109
aminoglycoside_model_h.hmm	2	5	2	8	13	7	6	10	6	59
aminoglycoside_model_i.hmm	18	12	10	12	9	26	6	10	5	108
