Features	Accuracy Train	Accuracy Test	Precision	Recall	F1 Score
1	0.522472	0.449438	0.474459	0.449438	0.40248
3	1	0.662921	0.652217	0.662921	0.656572
5	1	0.707865	0.709828	0.707865	0.708207
10	1	0.848315	0.851571	0.848315	0.847413
20	1	0.870787	0.872965	0.870787	0.867311
50	1	0.882022	0.88702	0.882022	0.871105
60	1	0.882022	0.900687	0.882022	0.86989
70	1	0.893258	0.893939	0.893258	0.883861
80	1	0.882022	0.877542	0.882022	0.870674
90	1	0.88764	0.889939	0.88764	0.879
100	1	0.870787	0.890658	0.870787	0.858113
120	1	0.882022	0.898927	0.882022	0.867911
150	1	0.893258	0.909739	0.893258	0.878497
180	1	0.870787	0.898134	0.870787	0.855244
200	1	0.848315	0.821896	0.848315	0.829591
250	1	0.870787	0.89102	0.870787	0.857286
All	1	0.870787	0.871968	0.870787	0.859151
