Name	Sample	ARG	Completeness	Contamination	Contig_Number	phylum	class	order	family	genus	species
EFF1_complete.62	EFF1	NA	100	1.79	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF1_complete.64	EFF1	NA	100	1.26	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF1_complete.35	EFF1	NA	99.97	1.05	1	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA
EFF1_complete.90	EFF1	NA	99.75	0.37	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA918	OLB19	NA
EFF1_complete.49	EFF1	NA	99.29	1.37	1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Q3-R57-64	Q3-R57-64	NA
EFF1_complete.66	EFF1	NA	98.8	0.51	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA5272	UBA11704	NA
EFF1_complete.97	EFF1	NA	98.33	1.07	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA918	OLB19	NA
EFF1_complete.27	EFF1	NA	97.78	2.16	1	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
EFF1_complete.94	EFF1	NA	96.53	0	1	Patescibacteria	Saccharimonadia	Saccharimonadales	AWTP1-31	AWTP1-31	NA
EFF1_semibin2_7	EFF1	NA	84.51	0.25	1	Actinobacteriota	Actinomycetia	Nanopelagicales	UBA10799	UBA10799	NA
EFF1_semibin2_32	EFF1	NA	81.5	0.16	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA5272	UBA11704	NA
EFF1_semibin2_9	EFF1	NA	74.44	0	1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
EFF1_metabat2.555	EFF1	NA	100	0.2	2	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Fuscovulum	Fuscovulum blasticum
EFF1_metabat2.516	EFF1	NA	100	0.08	2	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA8515	NA
EFF1_metabat2.570	EFF1	NA	100	0.06	2	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus sp016709965
EFF1_metabat2.577	EFF1	NA	94.87	0.09	2	Firmicutes	Bacilli	ML615J-28	CAG-698	DUNF01	DUNF01 sp012839485
EFF1_metabat2.767	EFF1	NA	90.38	0.8	2	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF1_semibin2_22	EFF1	NA	91.68	0.02	3	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF1_metabat2.364	EFF1	NA	87.37	5.94	3	Bacteroidota	Bacteroidia	AKYH767-A	OLB10	CAINEC01	NA
EFF1_metabat2.924	EFF1	NA	83.79	0.35	3	Patescibacteria	Saccharimonadia	CAILAD01	GCA-016700035	NA	NA
EFF1_metabat2.629	EFF1	NA	77.52	0.27	3	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Piscinibacter	NA
EFF1_metabat2.552	EFF1	NA	77.17	0.71	3	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp002305545
EFF1_metabat2.526	EFF1	NA	74	0.14	3	Patescibacteria	Paceibacteria	UBA9983_A	UBA1006	NA	NA
EFF1_metabat2.520	EFF1	NA	87.08	0.54	4	Bacteroidota	Bacteroidia	AKYH767	UBA4408	UBA4408	NA
EFF1_metabat2.9	EFF1	NA	72.11	0.18	4	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	NA	NA
EFF1_metabat2.491	EFF1	NA	92.84	3.29	5	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	AWTP1-35	NA
EFF1_metabat2.1024	EFF1	NA	85.63	2.54	5	Patescibacteria	JAEDAM01	BD1-5	UBA2023	JABFSX01	NA
EFF1_metabat2.993	EFF1	NA	81.29	0.41	5	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Novimethylophilus	NA
EFF1_metabat2.298	EFF1	NA	97.25	1.58	6	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Nitrotoga	NA
